hour,pv,wind
858,0.299,0.678
859,0.432,0.733
860,0.488,0.768
861,0.443,0.773
862,0.403,0.767
863,0.264,0.731
864,0.154,0.655
865,0.033,0.473
866,0.0,0.299
867,0.0,0.27
868,0.0,0.267
869,0.0,0.292
870,0.0,0.323
871,0.0,0.328
872,0.0,0.32
873,0.0,0.315
874,0.0,0.264
875,0.0,0.233
876,0.0,0.272
877,0.0,0.288
878,0.0,0.302
879,0.0,0.309
880,0.08,0.336
881,0.462,0.559
882,0.656,0.63
883,0.755,0.606
884,0.822,0.539
885,0.832,0.469
886,0.759,0.472
887,0.627,0.494
888,0.422,0.506
889,0.152,0.447
890,0.0,0.377
891,0.0,0.332
892,0.0,0.311
893,0.0,0.281
894,0.0,0.215
895,0.0,0.142
896,0.0,0.094
897,0.0,0.076
898,0.0,0.068
899,0.0,0.094
900,0.0,0.162
901,0.0,0.264
902,0.0,0.319
903,0.0,0.347
904,0.267,0.291
905,0.512,0.352
906,0.685,0.422
907,0.789,0.358
908,0.825,0.291
909,0.802,0.225
910,0.71,0.159
911,0.583,0.093
912,0.335,0.058
913,0.105,0.06
914,0.0,0.088
915,0.0,0.147
916,0.0,0.237
917,0.0,0.319
918,0.0,0.347
919,0.0,0.305
920,0.0,0.25
921,0.0,0.195
922,0.0,0.16
923,0.0,0.155
924,0.0,0.159
925,0.0,0.155
926,0.0,0.148
927,0.0,0.141
928,0.261,0.116
929,0.503,0.071
930,0.671,0.069
931,0.776,0.032
932,0.82,0.018
933,0.806,0.026
934,0.732,0.058
935,0.601,0.106
936,0.402,0.139
937,0.132,0.159
938,0.0,0.225
939,0.0,0.251
940,0.0,0.207
941,0.0,0.159
942,0.0,0.127
943,0.0,0.138
944,0.0,0.125
945,0.0,0.09
946,0.0,0.073
947,0.0,0.098
948,0.0,0.13
949,0.0,0.137
950,0.0,0.125
951,0.0,0.101
952,0.028,0.086
953,0.085,0.144
954,0.405,0.266
955,0.623,0.328
956,0.678,0.347
957,0.677,0.355
958,0.625,0.355
959,0.521,0.321
960,0.357,0.286
961,0.103,0.207
962,0.0,0.182
963,0.0,0.174
964,0.0,0.162
965,0.0,0.188
966,0.0,0.208
967,0.0,0.203
968,0.0,0.179
969,0.0,0.165
970,0.0,0.15
971,0.0,0.158
972,0.0,0.177
973,0.0,0.194
974,0.0,0.23
975,0.0,0.308
976,0.063,0.312
977,0.162,0.547
978,0.206,0.784
979,0.309,0.903
980,0.28,0.947
981,0.25,0.955
982,0.272,0.946
983,0.351,0.921
984,0.241,0.898
985,0.09,0.811
986,0.0,0.678
987,0.0,0.596
988,0.0,0.562
989,0.0,0.479
990,0.0,0.376
991,0.0,0.35
992,0.0,0.294
993,0.0,0.236
994,0.0,0.183
995,0.0,0.164
996,0.0,0.141
997,0.0,0.127
998,0.0,0.132
999,0.0,0.113
1000,0.152,0.054
1001,0.409,0.013
1002,0.711,0.002
1003,0.816,0.002
1004,0.857,0.001
1005,0.842,0.0
1006,0.772,0.0
1007,0.644,0.0
1008,0.448,0.0
1009,0.182,0.015
1010,0.0,0.025
1011,0.0,0.009
1012,0.0,0.002
1013,0.0,0.015
1014,0.0,0.07
1015,0.0,0.162
1016,0.0,0.181
1017,0.0,0.24
1018,0.0,0.323
1019,0.0,0.383
1020,0.0,0.512
1021,0.0,0.557
1022,0.0,0.571
1023,0.003,0.607
1024,0.255,0.484
1025,0.495,0.415
1026,0.63,0.506
1027,0.701,0.529
1028,0.778,0.606
1029,0.811,0.532
1030,0.711,0.456
1031,0.517,0.323
1032,0.23,0.212
1033,0.04,0.183
1034,0.0,0.379
1035,0.0,0.498
1036,0.0,0.542
1037,0.0,0.491
1038,0.0,0.352
1039,0.0,0.237
1040,0.0,0.199
1041,0.0,0.177
1042,0.0,0.145
1043,0.0,0.158
1044,0.0,0.134
1045,0.0,0.12
1046,0.0,0.147
1047,0.0,0.229
1048,0.013,0.329
1049,0.057,0.294
1050,0.145,0.481
1051,0.201,0.702
1052,0.161,0.655
1053,0.167,0.41
1054,0.105,0.271
1055,0.108,0.21
1056,0.076,0.179
1057,0.025,0.164
1058,0.0,0.179
1059,0.0,0.171
1060,0.0,0.184
1061,0.0,0.282
1062,0.0,0.451
1063,0.0,0.488
1064,0.0,0.509
1065,0.0,0.447
1066,0.0,0.382
1067,0.0,0.328
1068,0.0,0.369
1069,0.0,0.434
1070,0.0,0.55
1071,0.0,0.663
1072,0.009,0.772
1073,0.029,0.834
1074,0.093,0.859
1075,0.145,0.904
1076,0.36,0.958
1077,0.173,0.955
1078,0.247,0.961
1079,0.392,0.962
1080,0.291,0.938
1081,0.05,0.804
1082,0.0,0.532
1083,0.0,0.421
1084,0.0,0.332
1085,0.0,0.337
1086,0.0,0.365
1087,0.0,0.337
1088,0.0,0.282
1089,0.0,0.238
1090,0.0,0.196
1091,0.0,0.178
1092,0.0,0.165
1093,0.0,0.184
1094,0.0,0.165
1095,0.0,0.124
1096,0.049,0.107
1097,0.189,0.19
1098,0.429,0.392
1099,0.272,0.56
1100,0.339,0.707
1101,0.286,0.772
1102,0.218,0.773
1103,0.217,0.726
1104,0.182,0.683
1105,0.056,0.523
1106,0.0,0.391
1107,0.0,0.35
1108,0.0,0.309
1109,0.0,0.372
1110,0.0,0.363
1111,0.0,0.367
1112,0.0,0.43
1113,0.0,0.508
1114,0.0,0.59
1115,0.0,0.606
1116,0.0,0.586
1117,0.0,0.556
1118,0.0,0.464
1119,0.0,0.348
1120,0.075,0.313
1121,0.217,0.457
1122,0.401,0.591
1123,0.628,0.624
1124,0.708,0.676
1125,0.7,0.731
1126,0.658,0.756
1127,0.541,0.76
1128,0.373,0.75
1129,0.136,0.657
1130,0.0,0.51
1131,0.0,0.439
1132,0.0,0.434
1133,0.0,0.48
1134,0.0,0.548
1135,0.0,0.638
1136,0.0,0.634
1137,0.0,0.637
1138,0.0,0.667
1139,0.0,0.635
1140,0.0,0.58
1141,0.0,0.538
1142,0.0,0.45
1143,0.0,0.341
1144,0.075,0.229
1145,0.287,0.192
1146,0.338,0.267
1147,0.224,0.514
1148,0.307,0.804
1149,0.483,0.895
1150,0.507,0.917
1151,0.389,0.909
1152,0.269,0.878
1153,0.104,0.757
1154,0.0,0.599
1155,0.0,0.593
1156,0.0,0.57
1157,0.0,0.556
1158,0.0,0.517
1159,0.0,0.513
1160,0.0,0.494
1161,0.0,0.446
1162,0.0,0.402
1163,0.0,0.39
1164,0.0,0.38
1165,0.0,0.356
1166,0.0,0.298
1167,0.0,0.243
1168,0.073,0.232
1169,0.35,0.211
1170,0.517,0.157
1171,0.659,0.121
1172,0.668,0.112
1173,0.615,0.125
1174,0.482,0.155
1175,0.361,0.208
1176,0.236,0.279
1177,0.111,0.316
1178,0.0,0.359
1179,0.0,0.367
1180,0.0,0.364
1181,0.0,0.362
1182,0.0,0.317
1183,0.0,0.264
1184,0.0,0.213
1185,0.0,0.163
1186,0.0,0.123
1187,0.0,0.096
1188,0.0,0.081
1189,0.0,0.068
1190,0.0,0.053
1191,0.008,0.037
1192,0.225,0.025
1193,0.544,0.033
1194,0.718,0.03
1195,0.823,0.019
1196,0.869,0.013
1197,0.858,0.007
1198,0.79,0.001
1199,0.661,0.001
1200,0.465,0.008
1201,0.19,0.058
1202,0.0,0.144
1203,0.0,0.2
1204,0.0,0.183
1205,0.0,0.139
1206,0.0,0.109
1207,0.0,0.102
1208,0.0,0.111
1209,0.0,0.108
1210,0.0,0.08
1211,0.0,0.084
1212,0.0,0.106
