scenario,profit
s0648,153877.21257671618
s0649,173634.88551698852
s0650,179939.01568902424
s0651,172628.26659957654
s0652,185562.8930683197
s0653,211835.27382832457
s0654,164379.4034462928
s0655,154151.76593685758
s0656,158810.40459891787
s0657,166364.5749978192
s0658,133655.15906824567
s0659,162926.84158412
s0660,163407.09238499656
s0661,188369.5763223527
s0662,166220.69380570896
s0663,188853.4743389631
s0664,190088.16269806089
s0665,184448.3354443028
s0666,177710.38459881168
s0667,182313.04557567873
s0668,159763.0479117673
s0669,195246.7332232435
s0670,180346.17431429334
s0671,211438.48093812403
s0672,161316.18890805234
s0673,167467.4511067205
s0674,200964.27297894884
s0675,184331.44837872402
s0676,165862.06016984014
s0677,141193.0602019614
s0678,174277.4556663795
s0679,177930.11350537767
s0680,159605.28578346773
s0681,162049.60384779552
s0682,165614.1730700201
s0683,172540.08871189316
s0684,142714.65075664438
s0685,235579.5255860859
s0686,175464.29263114568
s0687,166884.94380856497
s0688,171625.21923938819
s0689,169607.12368472305
s0690,154167.53861435843
s0691,178979.56620472547
s0692,148928.7189585143
s0693,174277.44223395243
s0694,170221.3967303002
s0695,190723.1777103175
s0696,181667.53234542333
s0697,187431.21561121056
s0698,150354.4475926885
s0699,144795.8724283912
s0700,173457.9027532897
s0701,183666.3261143871
s0702,150689.44615557083
s0703,176925.79397506276
s0704,200405.6280284871
s0705,175834.90341089034
s0706,171703.5470535287
s0707,181023.90136671078
s0708,158039.1695027584
s0709,160265.3875954525
s0710,178486.74793381692
s0711,157423.32442692167
