datetime_utc,lmp_usd_mwh
2015-06-13 01:00:00+00:00,26.0075
2015-06-13 02:00:00+00:00,24.985
2015-06-13 03:00:00+00:00,27.810000000000002
2015-06-13 04:00:00+00:00,24.1075
2015-06-13 05:00:00+00:00,22.955
2015-06-13 06:00:00+00:00,24.494999999999997
2015-06-13 07:00:00+00:00,21.295
2015-06-13 08:00:00+00:00,20.3425
2015-06-13 09:00:00+00:00,20.395
2015-06-13 10:00:00+00:00,20.96
2015-06-13 11:00:00+00:00,21.425
2015-06-13 12:00:00+00:00,22.0425
2015-06-13 13:00:00+00:00,22.5025
2015-06-13 14:00:00+00:00,21.875
2015-06-13 15:00:00+00:00,22.8525
2015-06-13 16:00:00+00:00,24.5275
2015-06-13 17:00:00+00:00,29.1025
2015-06-13 18:00:00+00:00,34.435
2015-06-13 19:00:00+00:00,28.64
2015-06-13 20:00:00+00:00,29.0075
2015-06-13 21:00:00+00:00,26.4275
2015-06-13 22:00:00+00:00,25.715
2015-06-13 23:00:00+00:00,23.5975
2015-06-14 00:00:00+00:00,22.375
2015-06-14 01:00:00+00:00,23.06
2015-06-14 02:00:00+00:00,22.2325
2015-06-14 03:00:00+00:00,21.630000000000003
2015-06-14 04:00:00+00:00,20.0025
2015-06-14 05:00:00+00:00,20.3175
2015-06-14 06:00:00+00:00,20.225
2015-06-14 07:00:00+00:00,20.0275
2015-06-14 08:00:00+00:00,19.9875
2015-06-14 09:00:00+00:00,19.6175
2015-06-14 10:00:00+00:00,18.747500000000002
2015-06-14 11:00:00+00:00,18.425
2015-06-14 12:00:00+00:00,18.55
2015-06-14 13:00:00+00:00,20.46
2015-06-14 14:00:00+00:00,20.285
2015-06-14 15:00:00+00:00,21.03
2015-06-14 16:00:00+00:00,21.465
2015-06-14 17:00:00+00:00,22.465
2015-06-14 18:00:00+00:00,23.384999999999998
2015-06-14 19:00:00+00:00,24.6225
2015-06-14 20:00:00+00:00,25.86
2015-06-14 21:00:00+00:00,25.0425
2015-06-14 22:00:00+00:00,26.1375
2015-06-14 23:00:00+00:00,23.78
2015-06-15 00:00:00+00:00,22.49
2015-06-15 01:00:00+00:00,22.6775
2015-06-15 02:00:00+00:00,21.7675
2015-06-15 03:00:00+00:00,20.97
2015-06-15 04:00:00+00:00,20.244999999999997
2015-06-15 05:00:00+00:00,19.7025
2015-06-15 06:00:00+00:00,19.2525
2015-06-15 07:00:00+00:00,19.905
2015-06-15 08:00:00+00:00,19.6125
2015-06-15 09:00:00+00:00,19.97
2015-06-15 10:00:00+00:00,21.1425
2015-06-15 11:00:00+00:00,21.295
2015-06-15 12:00:00+00:00,22.105
2015-06-15 13:00:00+00:00,22.23
2015-06-15 14:00:00+00:00,22.83
2015-06-15 15:00:00+00:00,24.942500000000003
2015-06-15 16:00:00+00:00,26.0875
2015-06-15 17:00:00+00:00,30.185000000000002
