Qsell,E,CVaR,rho
4.58,841383.4690328186,-3.8173124028743193e6,-3.770725444155248e6
4.59,846051.0582425785,-3.8062042458551186e6,-3.759681692814142e6
4.6,850718.6474523385,-3.795096088835919e6,-3.748637941473036e6
4.61,855386.2366620984,-3.783987931816722e6,-3.7375941901319334e6
4.62,860053.8258718586,-3.7728797747975215e6,-3.7265504387908275e6
4.63,864721.4150816179,-3.761774562825209e6,-3.7155096030461406e6
4.64,869389.0042913773,-3.7506807877964084e6,-3.7044800898755305e6
4.65,874056.5935011379,-3.7395870127676055e6,-3.693450576704918e6
4.66,878724.1827108976,-3.728493237738807e6,-3.68242106353431e6
4.67,883391.7719206576,-3.7173994627100085e6,-3.671391550363702e6
4.68,888059.3611304178,-3.7063056876812065e6,-3.66036203719309e6
4.69,892726.9503401775,-3.695211912652408e6,-3.649332524022482e6
4.7,897394.539549938,-3.684118137623607e6,-3.6383030108518717e6
4.71,902062.1287596977,-3.6730243625948066e6,-3.6272734976812615e6
4.72,906729.7179694581,-3.66193058756601e6,-3.6162439845106555e6
4.73,911397.3071792183,-3.6508368125372073e6,-3.605214471340043e6
4.74,916064.896388978,-3.6397430375084076e6,-3.5941849581694338e6
4.75,920732.485598738,-3.6286492624796056e6,-3.583155444998822e6
4.76,925400.074808498,-3.6175554874508083e6,-3.5721259318282153e6
4.77,930067.6640182576,-3.606461712422008e6,-3.5610964186576055e6
4.78,934735.2532280181,-3.595367937393206e6,-3.550066905486994e6
4.79,939402.8424377785,-3.584274162364405e6,-3.539037392316383e6
4.8,944070.431647538,-3.573180387335606e6,-3.5280078791457745e6
4.81,948738.0208572984,-3.5620866123068067e6,-3.5169783659751657e6
4.82,953405.6100670586,-3.5509928372780066e6,-3.5059488528045556e6
4.83,958073.1992768184,-3.5398991661570566e6,-3.494919442502718e6
4.84,962740.7884865785,-3.528805806280257e6,-3.4838903403325886e6
4.85,967408.3776963383,-3.517712446403455e6,-3.472861238162457e6
4.86,972075.9669060989,-3.5066190865266575e6,-3.46183213599233e6
4.87,976743.5561158585,-3.4955257266498557e6,-3.4508030338221984e6
4.88,981411.1453256177,-3.4844323667730573e6,-3.4397739316520705e6
4.89,986078.7345353775,-3.473342444418604e6,-3.428748232629064e6
4.9,990746.3237451378,-3.462253990245002e6,-3.4177239871051004e6
4.91,995413.9129548977,-3.4511655360714025e6,-3.4066997415811396e6
4.92,1.0000815021646576e6,-3.440077081897801e6,-3.395675496057176e6
4.93,1.0047490913744175e6,-3.429014455725683e6,-3.384676820254682e6
4.94,1.0094166805841777e6,-3.4179672792128045e6,-3.3736934396148343e6
4.95,1.0140842697939381e6,-3.406930482144806e6,-3.3627203346254188e6
4.96,1.0187518590036979e6,-3.3958936850768058e6,-3.351747229636001e6
4.97,1.023419448213458e6,-3.3848568880088064e6,-3.3407741246465836e6
4.98,1.0280870374232183e6,-3.373820090940806e6,-3.3298010196571657e6
4.99,1.0327546266329781e6,-3.36278421610757e6,-3.3188288276801645e6
5.0,1.037422215842738e6,-3.351750070326769e6,-3.3078583474650737e6
5.01,1.0420898050524979e6,-3.3407159245459684e6,-3.296887867249984e6
5.02,1.0467573942622582e6,-3.329681778765168e6,-3.2859173870348935e6
5.03,1.051424983472018e6,-3.31864763298437e6,-3.2749469068198064e6
5.04,1.0560925726817786e6,-3.3076134872035705e6,-3.263976426604717e6
5.05,1.0607601618915382e6,-3.2965793414227692e6,-3.2530059463896262e6
5.06,1.0654277511012983e6,-3.2855451956419703e6,-3.2420354661745373e6
5.07,1.0700953403110583e6,-3.274511049861168e6,-3.2310649859594456e6
5.08,1.0747629295208184e6,-3.263476904080369e6,-3.220094505744357e6
5.09,1.0794305187305785e6,-3.2524427582995696e6,-3.209124025529268e6
5.1,1.0840981079403386e6,-3.2414086125187697e6,-3.198153545314179e6
5.11,1.0887656971500989e6,-3.23037446673797e6,-3.187183065099089e6
5.12,1.0934332863598585e6,-3.219340320957167e6,-3.1762125848839968e6
5.13,1.0981008755696178e6,-3.2083061751763714e6,-3.1652421046689115e6
5.14,1.1027684647793772e6,-3.1972720293955714e6,-3.1542716244538217e6
5.15,1.107436053989138e6,-3.1862378836147664e6,-3.1433011442387276e6
5.16,1.1121036431988976e6,-3.175203737833972e6,-3.1323306640236434e6
5.17,1.116771232408658e6,-3.1641695920531694e6,-3.121360183808551e6
5.18,1.1214388216184177e6,-3.15313544627237e6,-3.1103897035934622e6
5.19,1.1261064108281778e6,-3.1421025906576226e6,-3.0994205006427644e6
5.2,1.1307740000379381e6,-3.131073470292024e6,-3.0884549955887245e6
5.21,1.1354415892476977e6,-3.120044349926423e6,-3.0774894905346814e6
5.22,1.140109178457458e6,-3.1090152295608246e6,-3.066523985480642e6
5.23,1.1447767676672179e6,-3.097986109195222e6,-3.055558480426598e6
5.24,1.1494443568769784e6,-3.0869569888296216e6,-3.0445929753725557e6
5.25,1.154111946086738e6,-3.075927868464024e6,-3.0336274703185163e6
5.26,1.1587795352964979e6,-3.0648987480984232e6,-3.022661965264474e6
5.27,1.163447124506258e6,-3.053869627732824e6,-3.011696460210433e6
5.28,1.1681147137160182e6,-3.0428405073672235e6,-3.000730955156391e6
5.29,1.1727823029257783e6,-3.031811387001623e6,-2.989765450102349e6
5.3,1.1774498921355382e6,-3.0207822666360238e6,-2.9787999450483085e6
5.31,1.1821174813452982e6,-3.0097531462704213e6,-2.967834439994264e6
5.32,1.1867850705550585e6,-2.998724025904823e6,-2.9568689349402245e6
5.33,1.1914526597648184e6,-2.987694905539223e6,-2.9459034298861823e6
5.34,1.1961202489745785e6,-2.9766657851736224e6,-2.9349379248321406e6
5.35,1.2007878381843385e6,-2.9656788478613636e6,-2.9240141810009065e6
5.36,1.2054554273940988e6,-2.9547096214877623e6,-2.913107970998944e6
5.37,1.2101230166038584e6,-2.943740395114165e6,-2.902201760996985e6
5.38,1.2147906058136178e6,-2.9327711687405664e6,-2.8912955509950244e6
5.39,1.2194581950233777e6,-2.921801942366966e6,-2.8803893409930626e6
5.4,1.2241257842331377e6,-2.910832715993365e6,-2.8694831309911e6
5.41,1.2287933734428983e6,-2.8998634896197654e6,-2.8585769209891385e6
5.42,1.2334609626526576e6,-2.8888942632461637e6,-2.847670710987176e6
